Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.40,0,0.0627599960973462335507818842,0.0627599960973462,0.0622444282129054,0.0627599960973462,0.0622444282129054,0,0.0000000,0.0000000,0,4.1780514909453730763495743568,43.588403880355542663764310232,51.279594358591263548526319888,1566407000
21.41,0,0.0627580841372093305507818842,0.0627580841372093,0.0622429815029769,0.0627580841372093,0.0622429815029769,0,0.0000000,0.0000000,0,4.1773929236589833963298351344,43.581291917870461989471878747,51.275517243456433107562679935,1567139000
21.42,0,0.0627561843806353865507818842,0.0627561843806354,0.0622415463663658,0.0627561843806354,0.0622415463663658,0,0.0000000,0.0000000,0,4.1767344155823297149445418442,43.574150624926022044138307167,51.271421629386427432759583608,1567871000
21.43,0,0.0627542859223803165507818842,0.0627542859223803,0.0622401118989665,0.0627542859223803,0.0622401118989665,0,0.0000000,0.0000000,0,4.1760764698927954311349947042,43.567048036713154150521953981,51.267350042334730199298347477,1568603000
21.44,0,0.0627523898983457905507818842,0.0627523898983458,0.0622386792378167,0.0627523898983458,0.0622386792378167,0,0.0000000,0.0000000,0,4.1754189866439232677994711323,43.559922566570910203380173196,51.263263317703676521473866198,1569335000
21.45,0,0.0627504850337689695507818842,0.062750485033769,0.062237237109287,0.062750485033769,0.062237237109287,0,0.0000000,0.0000000,0,4.174761710471065947836248546,43.552820137984848628610492682,51.259191252746899659155260163,1570067000
21.46,0,0.0627486026012737115507818842,0.0627486026012737,0.0622358167871321,0.0627486026012737,0.0622358167871321,0,0.0000000,0.0000000,0,4.1741052684776731941436043619,43.545706872854662445771227524,51.255111042495681207313007743,1570798000
21.47,0,0.0627467013266120675507818842,0.0627467013266121,0.0622343769982324,0.0627467013266121,0.0622343769982324,0,0.0000000,0.0000000,0,4.1734488568926727296198159981,43.538610348450243682792690741,51.251041776869313787583752881,1571530000
21.48,0,0.0627448113455649095507818842,0.0627448113455649,0.0622329478794945,0.0627448113455649,0.0622329478794945,0,0.0000000,0.0000000,0,4.1727930499442902771631608694,43.531505946731245483391735759,51.246966663795821628264987626,1572262000
21.49,0,0.0627429337934052745507818842,0.0627429337934053,0.0622315305673146,0.0627429337934053,0.0622315305673146,0,0.0000000,0.0000000,0,4.1721376250988215596719163955,43.524425832104629052442168216,51.242906648332033731085562771,1572994000
21.50,0,0.0627410483966548145507818842,0.0627410483966548,0.0622301047893351,0.0627410483966548,0.0622301047893351,0,0.0000000,0.0000000,0,4.1714824753425039760873827935,43.517321633973763802658761629,51.238831028984113339483054318,1573726000
21.51,0,0.0627391543850150045507818842,0.062739154385015,0.0622286697763757,0.062739154385015,0.0622286697763757,0,0.0000000,0.0000000,0,4.17082820523879624930783748,43.510230816478741216562992461,51.234762604455842095872060962,1574458000
21.52,0,0.0627372815688331425507818842,0.0627372815688331,0.0622272553398993,0.0627372815688331,0.0622272553398993,0,0.0000000,0.0000000,0,4.170173807748984750145512271,43.503154954905577340106124507,51.230704236535968405628493415,1575190000
21.53,0,0.0627354011356499025507818842,0.0627354011356499,0.0622258326685598,0.0627354011356499,0.0622258326685598,0,0.0000000,0.0000000,0,4.1695201616300362296277529859,43.496073068577969995180905956,51.226640891450071413086421284,1575922000
21.54,0,0.0627335228546652355507818842,0.0627335228546652,0.0622244115326678,0.0627335228546652,0.0622244115326678,0,0.0000000,0.0000000,0,4.1688669114768490585667914393,43.489019931952966531186011455,51.222595424370480688904431963,1576654000
21.55,0,0.0627316459962319535507818842,0.062731645996232,0.0622229912036842,0.062731645996232,0.0622229912036842,0,0.0000000,0.0000000,0,4.1682138102359396359039278513,43.481935406041879649475529513,51.218529884879906635294849163,1577386000
21.56,0,0.0627297802467440725507818842,0.0627297802467441,0.0622215813691087,0.0627297802467441,0.0622215813691087,0,0.0000000,0.0000000,0,4.1675610766499796845374396376,43.474880178602152828591364029,51.21448260984037650660776204,1578118000
21.57,0,0.0627279069177107265507818842,0.0627279069177107,0.0622201633415537,0.0627279069177107,0.0622201633415537,0,0.0000000,0.0000000,0,4.1669093153567716034086270156,43.46781602351642534499933984,51.210428059981525929654895952,1578850000
21.58,0,0.0627260447376901235507818842,0.0627260447376901,0.062218755850678,0.0627260447376901,0.062218755850678,0,0.0000000,0.0000000,0,4.1662572192428367633297218012,43.460761029704244599330147405,51.206380204988852130801539205,1579582000
21.59,0,0.0627241749760347755507818842,0.0627241749760348,0.0622173401669325,0.0627241749760348,0.0622173401669325,0,0.0000000,0.0000000,0,4.1656058671155822392850470143,43.453700089150511184553074898,51.202327386476268375758183771,1580314000
21.60,0,0.0627223063201512785507818842,0.0627223063201513,0.0622159249788195,0.0627223063201513,0.0622159249788195,0,0.0000000,0.0000000,0,4.164954803542928402086834469,43.446664999734186723173765767,51.198290743182955321177246974,1581046000
21.61,0,0.0627204500388941025507818842,0.0627204500388941,0.0622145215562867,0.0627204500388941,0.0622145215562867,0,0.0000000,0.0000000,0,4.164304581497876002762429985,43.439618721641945847274182952,51.194245590578576777930691958,1581778000
